PR,Fecha,Hora,Tipo,Componente
"6","2026-06-22","","ApexClass","CaseClosedValidator"
"6","2026-06-22","","ApexClass","CaseClosedValidatorTest"
"6","2026-06-22","","AiAuthoringBundle","Reservation_Assistant_Internal"
"7","2026-06-22","","ApexClass","CaseClosedValidator"
"7","2026-06-22","","ApexClass","CaseClosedValidatorTest"
"7","2026-06-22","","Flow","Set_Booking_Cancellation"
"8","2026-06-23","","ApexClass","CaseClosedValidator"
"8","2026-06-23","","ApexClass","CaseClosedValidatorTest"
"9","2026-06-23","10:57:23","Flow","Set_Booking_Cancellation"
"10","2026-06-23","11:53:53","ApexClass","CaseClosedValidator"
"10","2026-06-23","11:53:53","ApexClass","CaseClosedValidatorTest"
"10","2026-06-23","11:53:53","Flow","Set_Booking_Cancellation"
"10","2026-06-23","11:53:53","AiAuthoringBundle","Reservation_Assistant_Internal"
"11","2026-06-24","09:30:21","ApexClass","CaseClosedValidator"
"11","2026-06-24","09:30:21","ApexClass","CaseClosedValidatorTest"
"11","2026-06-24","09:30:21","Flow","Set_Booking_Cancellation"
"11","2026-06-24","09:30:21","AiAuthoringBundle","Reservation_Assistant_Internal"
